nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
Kepler-1357 b,97.2143593838997,128000000.0,218000000.0,0.041
Kepler-1358 b,97.52227489677105,112000000.0,146000000.0,0.0656
Kepler-136 b,95.60088711646802,205000000.0,1980000000.0,0.106
Kepler-136 c,95.85384498557451,199000000.0,462000000.0,0.133
Kepler-1360 b,93.13328986086546,340000000.0,1150000000.0,0.2866
Kepler-1362 b,94.67602092357448,260000000.0,727000000.0,0.4626
Kepler-1363 b,97.27161513497984,125000000.0,210000000.0,0.0363
Kepler-1364 b,95.54654104354633,215000000.0,527000000.0,0.1284
Kepler-1366 b,96.92766082944526,143000000.0,263000000.0,0.0273
Kepler-1367 b,99.64583832011527,0.92,0.721,0.0236
Kepler-1368 b,96.50655624976396,165000000.0,336000000.0,0.0153
Kepler-1369 b,94.50640049718842,269000000.0,770000000.0,0.1741
Kepler-137 b,96.85088633312617,147000000.0,276000000.0,0.077
Kepler-137 c,96.06495290998315,188000000.0,419000000.0,0.13
Kepler-1372 b,97.23353450914199,127000000.0,215000000.0,0.024
Kepler-1374 b,95.27745314937646,229000000.0,586000000.0,0.0918
Kepler-1375 b,96.33394132056995,174000000.0,368000000.0,0.0471
Kepler-1376 b,97.65697398807076,105000000.0,116000000.0,0.0598
Kepler-1377 b,97.27171894571133,125000000.0,210000000.0,0.0153
Kepler-1378 b,95.45045944933034,220000000.0,548000000.0,0.0885
Kepler-1379 b,97.17623511810733,130000000.0,224000000.0,0.0171
Kepler-138 b,99.92966300104655,0.64,0.07,0.0753
Kepler-138 c,97.12733465668819,151000000.0,230000000.0,0.0913
Kepler-138 d,96.9931465881231,151000000.0,210000000.0,0.1288
Kepler-138 e,97.9779135937489,0.797,0.43,0.1803
Kepler-1380 b,96.92737337685688,143000000.0,263000000.0,0.0917
Kepler-1381 b,95.35385567692657,225000000.0,569000000.0,0.1728
Kepler-1384 b,95.94991913788041,194000000.0,442000000.0,0.1126
Kepler-1386 b,97.29059634833867,124000000.0,207000000.0,0.068
Kepler-1387 b,99.64581342794168,0.93,0.749,0.031
Kepler-1388 b,94.69969343562053,259000000.0,722000000.0,0.0882
Kepler-1388 c,95.33534853471261,226000000.0,573000000.0,0.0519
Kepler-1388 d,94.17847727700129,286000000.0,855000000.0,0.126
Kepler-1388 e,94.94923504176911,246000000.0,662000000.0,0.1861
Kepler-1390 b,97.40649663188401,118000000.0,176000000.0,0.0662
Kepler-1392 b,95.91151192730256,196000000.0,450000000.0,0.1189
Kepler-1393 b,99.64580763666582,0.8,0.437,0.0337
