nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
HD 191939 b,92.7619870554535,341000000.0,1000000000.0,0.0804
HD 191939 c,93.08511576976454,319500000.0,800000000.0,0.1752
HD 191939 d,93.63757838422745,299500000.0,280000000.0,0.2132
HD 191939 e,72.10155306666195,1300000000.0,11220000000.0,0.407
HD 191939 f,33.465405914102206,1320000000.0,91534581216.0,37100000000.0
HD 191939 g,91.51553332933736,374000000.0,1350000000.0,0.812
HD 192263 b,68.1579768152052,1420000000.0,17798480000.0,0.15
HD 192310 b,87.88015461091173,427000000.0,1690000000.0,0.32
HD 192310 c,73.65861184094848,525000000.0,2400000000.0,11800000000.0
HD 192699 b,54.07349679778143,1340000000.0,66617168000.0,10630000000.0
HD 194490 b,8.982484690020108,1240000000.0,356190295725.0,111160000000.0
HD 195019 b,51.27872137959315,1300000000.0,126496340000.0,0.14
HD 196050 b,26.585376398657914,1290000000.0,149379351290.0,26500000000.0
HD 19615 b,34.06829236020958,1260000000.0,270154145950.0,11000000000.0
HD 196885 A b,35.32164556382125,1320000000.0,81997000000.0,23700000000.0
HD 197037 b,50.41879836908555,1390000000.0,25100000000.0,20700000000.0
HD 199509 b,74.59638514024493,743000000.0,4322466335.0,0.426
HD 19994 b,57.093560724632376,1360000000.0,43541000000.0,13050000000.0
HD 20003 b,83.112750802416,343000000.0,1166000000.0,0.0974
HD 20003 c,89.64105478471893,389000000.0,1444000000.0,0.1964
HD 200964 b,53.70875230255354,1350000000.0,50821017000.0,15650000000.0
HD 200964 c,48.54050400244481,1370000000.0,38584562000.0,19600000000.0
HD 202772 A b,63.40762672697196,1731790500.0,32323311000.0,0.05208
HD 20329 b,96.03193480473247,172000000.0,742000000.0,0.018
HD 203387 c,14.895000967503874,1260000000.0,237894562640.0,50670000000.0
HD 204941 b,53.39488709971342,1010000000.0,7310090000.0,25500000000.0
HD 205158 b,66.88858581235277,1390000000.0,12458873554.0,0.177
HD 205739 b,57.49265014453456,1360000000.0,43541000000.0,0.896
HD 206255 b,80.27248350906207,647000000.0,3420000000.0,0.461
HD 206610 b,49.990013927338616,1340000000.0,64710188000.0,17400000000.0
HD 207496 b,89.12546444481099,225000000.0,610000000.0,0.0629
HD 20781 b,95.12518282425958,121000000.0,193000000.0,0.0529
HD 20781 c,93.48218393421591,217000000.0,533000000.0,0.1004
HD 20781 d,90.66382598686478,325000000.0,1061000000.0,0.1647
HD 20781 e,90.84993943284039,383000000.0,1403000000.0,0.3374
HD 207832 b,63.49386546313211,1420000000.0,17798480000.0,0.586
HD 207832 c,48.63550514211192,1400000000.0,23201590000.0,21120000000.0
HD 207897 b,94.65484786000755,234302132.0,1480000000.0,0.117
HD 20794 b,95.6919069961465,145000000.0,270000000.0,0.1257
HD 20794 d,93.973776376403,204000000.0,480000000.0,0.3625
HD 20794 e,87.52525808252472,203000000.0,477000000.0,0.509
