nome_planeta,categoria_original,categoria_predita,previsao_correta
WASP-172 b,Terrestre,Terrestre,True
HD 66428 c,Terrestre,Terrestre,True
Kepler-617 b,Terrestre,Terrestre,True
HD 231701 b,Terrestre,Terrestre,True
Kepler-206 b,Terrestre,Terrestre,True
CoRoT-1 b,Terrestre,Terrestre,True
Barnard d,Terrestre,Terrestre,True
HD 102888 b,Terrestre,Terrestre,True
Kepler-81 b,Terrestre,Terrestre,True
TOI-3364 b,Terrestre,Terrestre,True
TRAPPIST-1 g,Terrestre,Terrestre,True
Kepler-1814 c,Terrestre,Terrestre,True
Kepler-944 b,Terrestre,Terrestre,True
Kepler-1897 b,Terrestre,Terrestre,True
GJ 163 b,Terrestre,Terrestre,True
Kepler-142 d,Terrestre,Terrestre,True
Kepler-1740 b,Terrestre,Terrestre,True
Kepler-1959 b,Terrestre,Terrestre,True
Kepler-372 c,Terrestre,Terrestre,True
HIP 105854 b,Terrestre,Terrestre,True
Kepler-875 b,Terrestre,Terrestre,True
Kepler-995 b,Terrestre,Terrestre,True
Kepler-8 b,Terrestre,Terrestre,True
TOI-2977 b,Terrestre,Terrestre,True
Kepler-606 b,Terrestre,Terrestre,True
HD 135872 b,Terrestre,Terrestre,True
Kepler-564 b,Terrestre,Terrestre,True
KOI-1599.02,Terrestre,Terrestre,True
K2-4 b,Terrestre,Terrestre,True
Kepler-219 d,Terrestre,Terrestre,True
Kepler-1403 b,Terrestre,Terrestre,True
WASP-64 b,Terrestre,Terrestre,True
Kepler-341 c,Terrestre,Terrestre,True
Kepler-289 e,Terrestre,Terrestre,True
Kepler-1887 b,Terrestre,Terrestre,True
K2-129 b,Terrestre,Terrestre,True
HD 93963 A b,Terrestre,Terrestre,True
Kepler-122 d,Terrestre,Terrestre,True
Kepler-1150 b,Terrestre,Terrestre,True
Kepler-80 e,Terrestre,Terrestre,True
HD 207897 b,Terrestre,Terrestre,True
GJ 480 b,Terrestre,Terrestre,True
WASP-160 B b,Terrestre,Terrestre,True
Kepler-1297 b,Terrestre,Terrestre,True
Kepler-202 b,Terrestre,Terrestre,True
HD 217786 c,Terrestre,Terrestre,True
Kepler-421 b,Terrestre,Terrestre,True
Kepler-294 c,Terrestre,Terrestre,True
WASP-192 b,Terrestre,Terrestre,True
Kepler-940 b,Terrestre,Terrestre,True
Kepler-688 b,Terrestre,Terrestre,True
Kepler-1765 b,Terrestre,Terrestre,True
Kepler-478 b,Terrestre,Terrestre,True
Kepler-1850 b,Terrestre,Terrestre,True
Kepler-1695 b,Terrestre,Terrestre,True
Kepler-1037 b,Terrestre,Terrestre,True
HD 95735 c,Terrestre,Terrestre,True
HAT-P-6 b,Terrestre,Terrestre,True
Kepler-1761 b,Terrestre,Terrestre,True
Kepler-366 b,Terrestre,Terrestre,True
Kepler-1204 b,Terrestre,Terrestre,True
Kepler-360 b,Terrestre,Terrestre,True
Kepler-387 c,Terrestre,Terrestre,True
HD 30856 b,Terrestre,Terrestre,True
