nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
Kepler-1154 b,51.16993058930905,234000000.0,608000000.0,0.0631
Kepler-1154 c,50.07775651660761,236000000.0,617000000.0,0.0875
Kepler-1155 b,48.39686846119829,203000000.0,478000000.0,0.2006
Kepler-1157 b,67.75689308812002,109000000.0,132000000.0,0.0448
Kepler-1159 b,46.413947156940594,237000000.0,621000000.0,0.1603
Kepler-116 b,34.86459010077035,342000000.0,1160000000.0,0.069
Kepler-116 c,49.77955996369439,230000000.0,590000000.0,0.116
Kepler-1160 b,53.24053786424153,214000000.0,522000000.0,0.0755
Kepler-1161 b,52.69516226526738,213000000.0,518000000.0,0.0784
Kepler-1162 b,46.18369979615609,221000000.0,552000000.0,0.19
Kepler-1162 c,49.592118515713835,181000000.0,393000000.0,0.2832
Kepler-1165 b,60.54658145293722,155000000.0,302000000.0,0.0914
Kepler-1165 c,29.935619222043748,336093385.0,1120000000.0,0.1969
Kepler-1166 b,52.89594875954057,169000000.0,350000000.0,0.1975
Kepler-1167 b,60.62734487477994,171000000.0,357000000.0,0.0175
Kepler-1168 b,40.202111925759276,250000000.0,680000000.0,0.2663
Kepler-117 b,13.925735388568249,805900000.0,2987500000.0,0.1445
Kepler-1170 b,49.00137528523028,241000000.0,639000000.0,0.088
Kepler-1171 b,48.98637411212336,256000000.0,708000000.0,0.0284
Kepler-1172 b,33.42099246611842,320000000.0,1030000000.0,0.168
Kepler-1174 b,60.69292554572152,159000000.0,315000000.0,0.0732
Kepler-1175 b,33.60891581595422,299000000.0,922000000.0,0.2181
Kepler-1176 b,44.92469984923312,245000000.0,657000000.0,0.1589
Kepler-1178 b,61.25003127092458,107000000.0,124000000.0,0.1596
Kepler-118 b,55.76255852078124,196000000.0,450000000.0,0.073
Kepler-118 c,14.276602953434695,768000000.0,4570000000.0,0.141
Kepler-1180 b,53.04684321408206,199000000.0,462000000.0,0.1246
Kepler-1181 b,61.4283456322208,157000000.0,309000000.0,0.0621
Kepler-1181 c,57.11106232861671,183000000.0,401000000.0,0.0928
Kepler-1182 b,48.70802176356642,241000000.0,639000000.0,0.0981
Kepler-1183 b,38.48486875197259,282000000.0,835000000.0,0.1793
Kepler-1184 b,37.61318351167629,268000000.0,765000000.0,0.2863
Kepler-1186 b,49.99992063275734,223000000.0,560000000.0,0.1281
Kepler-1187 b,43.94474271556503,261000000.0,732000000.0,0.1401
Kepler-1188 b,51.773224620721756,208000000.0,498000000.0,0.135
Kepler-1189 b,59.17545887909106,177000000.0,378000000.0,0.0467
Kepler-119 b,32.94785886381593,360000000.0,1260000000.0,0.035
Kepler-119 c,78.25161504906097,0.92,0.721,0.049
Kepler-1190 b,62.98813492962121,133000000.0,233000000.0,0.0845
Kepler-1191 b,62.00160634698129,151000000.0,289000000.0,0.0587
Kepler-1192 b,45.92972296309257,236000000.0,617000000.0,0.1693
Kepler-1194 b,59.37002311311341,151000000.0,289000000.0,0.1212
Kepler-1195 b,53.91358708804644,208000000.0,498000000.0,0.0726
Kepler-1198 b,61.97952610038134,147000000.0,276000000.0,0.0732
Kepler-120 b,49.06013790234634,215000000.0,850000000.0,0.055
Kepler-120 c,59.96542770781128,153000000.0,296000000.0,0.088
Kepler-1200 b,68.98565569175375,106000000.0,120000000.0,0.0188
Kepler-1201 b,49.389387383597956,229000000.0,586000000.0,0.1183
Kepler-1202 b,36.654861198802706,294000000.0,896000000.0,0.179
Kepler-1203 b,69.26273375210458,106000000.0,120000000.0,0.0114
Kepler-1205 b,64.35058542763947,141000000.0,257000000.0,0.0196
Kepler-1206 b,61.456797229073494,164000000.0,333000000.0,0.0201
Kepler-1207 b,58.623007212283746,162000000.0,326000000.0,0.1156
Kepler-1208 b,49.99010829560109,232000000.0,599000000.0,0.0901
Kepler-121 b,51.66738367052835,234000000.0,608000000.0,0.039
Kepler-121 c,43.432996679852835,227000000.0,577000000.0,0.216
Kepler-1210 b,59.01058287030282,170000000.0,353000000.0,0.0753
Kepler-1212 b,52.0091739891608,214000000.0,522000000.0,0.1082
Kepler-1214 b,47.509415376200124,236000000.0,617000000.0,0.128
Kepler-1215 b,65.74698414670019,122000000.0,198000000.0,0.0528
Kepler-1216 b,63.77540351872643,139000000.0,251000000.0,0.0519
Kepler-1217 b,56.71986642008701,199000000.0,462000000.0,0.0326
Kepler-122 b,51.02611431865994,234000000.0,608000000.0,0.064
Kepler-122 c,16.185478688722675,587000000.0,2900000000.0,0.108
Kepler-122 d,49.03653687558557,220000000.0,548000000.0,0.155
Kepler-122 e,19.35661991180728,260000000.0,2770000000.0,0.227
Kepler-1220 b,61.428951779109475,152000000.0,292000000.0,0.0734
Kepler-1221 b,55.70959370790431,188000000.0,419000000.0,0.0906
Kepler-1223 b,62.88982089058062,122000000.0,198000000.0,0.1186
Kepler-1225 b,57.72157737018201,182000000.0,397000000.0,0.0771
Kepler-123 c,57.15031096188857,148000000.0,279000000.0,0.181
Kepler-1230 b,44.70385952573589,271000000.0,780000000.0,0.0921
Kepler-1231 b,61.917101176611,142000000.0,260000000.0,0.0914
Kepler-1233 b,38.76687540957506,260000000.0,727000000.0,0.263
Kepler-1234 b,42.73601016969626,281000000.0,830000000.0,0.096
Kepler-1236 b,47.52166002258347,214000000.0,522000000.0,0.1803
Kepler-1238 b,56.99918312495027,193000000.0,438000000.0,0.0541
Kepler-1239 b,43.078986516843734,290000000.0,875000000.0,0.0625
Kepler-124 b,78.4286324207357,0.73,0.315,0.039
