nome_planeta,categoria_original,categoria_predita,previsao_correta
Kepler-1393 b,Terrestre,Terrestre,True
GJ 160.2 b,Não-Terrestre,Não-Terrestre,True
Kepler-1528 b,Terrestre,Terrestre,True
K2-35 b,Terrestre,Terrestre,True
Kepler-143 c,Não-Terrestre,Não-Terrestre,True
Kepler-1134 b,Não-Terrestre,Não-Terrestre,True
Kepler-1431 b,Terrestre,Terrestre,True
Kepler-1697 b,Não-Terrestre,Não-Terrestre,True
Kepler-1506 b,Terrestre,Terrestre,True
Kepler-1002 b,Terrestre,Terrestre,True
Kepler-1982 b,Terrestre,Terrestre,True
HD 69830 c,Não-Terrestre,Não-Terrestre,True
Kepler-866 b,Terrestre,Terrestre,True
Kepler-732 b,Terrestre,Terrestre,True
rho CrB e,Não-Terrestre,Não-Terrestre,True
Kepler-871 b,Não-Terrestre,Não-Terrestre,True
Kepler-1794 b,Terrestre,Terrestre,True
Kepler-983 b,Não-Terrestre,Não-Terrestre,True
Kepler-1802 b,Terrestre,Terrestre,True
HIP 97166 c,Não-Terrestre,Não-Terrestre,True
HD 177565 b,Não-Terrestre,Não-Terrestre,True
TOI-1248 b,Não-Terrestre,Não-Terrestre,True
Kepler-319 c,Não-Terrestre,Não-Terrestre,True
TOI-1136 d,Não-Terrestre,Não-Terrestre,True
TOI-1758 b,Não-Terrestre,Não-Terrestre,True
Kepler-1190 b,Terrestre,Terrestre,True
K2-138 b,Terrestre,Terrestre,True
TOI-1062 c,Não-Terrestre,Não-Terrestre,True
Kepler-1410 b,Não-Terrestre,Não-Terrestre,True
Kepler-1788 b,Terrestre,Terrestre,True
Kepler-234 c,Não-Terrestre,Não-Terrestre,True
Kepler-1018 b,Não-Terrestre,Não-Terrestre,True
Kepler-1363 b,Terrestre,Terrestre,True
61 Vir c,Não-Terrestre,Não-Terrestre,True
K2-32 b,Não-Terrestre,Não-Terrestre,True
Kepler-717 b,Terrestre,Terrestre,True
Kepler-196 c,Não-Terrestre,Não-Terrestre,True
Kepler-946 b,Terrestre,Terrestre,True
Kepler-327 c,Não-Terrestre,Não-Terrestre,True
Kepler-1756 b,Terrestre,Terrestre,True
Kepler-1154 c,Terrestre,Terrestre,True
Kepler-1379 b,Terrestre,Terrestre,True
Kepler-1817 b,Não-Terrestre,Não-Terrestre,True
Kepler-332 c,Terrestre,Terrestre,True
Kepler-1987 b,Terrestre,Terrestre,True
HD 18143 b,Não-Terrestre,Não-Terrestre,True
HD 164922 d,Não-Terrestre,Não-Terrestre,True
Kepler-164 b,Terrestre,Terrestre,True
Kepler-361 c,Não-Terrestre,Não-Terrestre,True
Kepler-1649 b,Terrestre,Terrestre,True
HD 63433 c,Não-Terrestre,Não-Terrestre,True
Kepler-1642 c,Não-Terrestre,Não-Terrestre,True
Kepler-1189 b,Terrestre,Terrestre,True
HIP 4845 b,Não-Terrestre,Não-Terrestre,True
Kepler-302 b,Não-Terrestre,Não-Terrestre,True
HIP 113103 c,Não-Terrestre,Não-Terrestre,True
Kepler-1502 b,Não-Terrestre,Não-Terrestre,True
Kepler-1075 b,Terrestre,Terrestre,True
TOI-4438 b,Não-Terrestre,Não-Terrestre,True
Kepler-1041 b,Não-Terrestre,Não-Terrestre,True
Kepler-330 b,Terrestre,Terrestre,True
TOI-1807 b,Terrestre,Terrestre,True
Kepler-1841 b,Terrestre,Terrestre,True
