nome_planeta,categoria_original,categoria_predita,previsao_correta
Pr0201 b,Não-Terrestre,Não-Terrestre,True
Kepler-357 b,Não-Terrestre,Não-Terrestre,True
Kepler-242 c,Não-Terrestre,Não-Terrestre,True
Kepler-1231 b,Não-Terrestre,Não-Terrestre,True
K2-229 b,Não-Terrestre,Não-Terrestre,True
Kepler-124 b,Não-Terrestre,Não-Terrestre,True
Kepler-255 b,Não-Terrestre,Não-Terrestre,True
Kepler-770 b,Não-Terrestre,Não-Terrestre,True
Kepler-907 b,Não-Terrestre,Não-Terrestre,True
Kepler-1024 b,Não-Terrestre,Não-Terrestre,True
Kepler-243 b,Não-Terrestre,Não-Terrestre,True
51 Peg b,Não-Terrestre,Não-Terrestre,True
TOI-2000 c,Não-Terrestre,Não-Terrestre,True
Kepler-1565 b,Não-Terrestre,Não-Terrestre,True
Kepler-1645 b,Não-Terrestre,Não-Terrestre,True
GJ 687 b,Terrestre,Terrestre,True
Kepler-1737 b,Não-Terrestre,Não-Terrestre,True
TIC 88785435 b,Terrestre,Terrestre,True
Kepler-194 d,Não-Terrestre,Não-Terrestre,True
Kepler-591 b,Não-Terrestre,Não-Terrestre,True
Kepler-846 b,Não-Terrestre,Não-Terrestre,True
HD 103197 b,Não-Terrestre,Não-Terrestre,True
TOI-669 b,Não-Terrestre,Não-Terrestre,True
Kepler-1789 b,Não-Terrestre,Não-Terrestre,True
HATS-43 b,Não-Terrestre,Não-Terrestre,True
HD 110113 c,Terrestre,Terrestre,True
Kepler-710 b,Não-Terrestre,Não-Terrestre,True
Kepler-304 d,Não-Terrestre,Não-Terrestre,True
HD 192310 b,Terrestre,Terrestre,True
TOI-544 b,Não-Terrestre,Não-Terrestre,True
Kepler-283 c,Não-Terrestre,Não-Terrestre,True
TOI-1759 b,Não-Terrestre,Não-Terrestre,True
Kepler-1254 d,Não-Terrestre,Não-Terrestre,True
Kepler-254 b,Não-Terrestre,Não-Terrestre,True
Kepler-1509 b,Não-Terrestre,Não-Terrestre,True
WASP-54 b,Não-Terrestre,Não-Terrestre,True
Kepler-1038 c,Não-Terrestre,Não-Terrestre,True
Kepler-339 b,Não-Terrestre,Não-Terrestre,True
NGTS-2 b,Não-Terrestre,Não-Terrestre,True
Kepler-679 b,Não-Terrestre,Não-Terrestre,True
Kepler-1136 b,Não-Terrestre,Não-Terrestre,True
Kepler-1553 b,Não-Terrestre,Não-Terrestre,True
XO-2 S b,Não-Terrestre,Não-Terrestre,True
Kepler-83 c,Não-Terrestre,Não-Terrestre,True
Kepler-1202 b,Não-Terrestre,Não-Terrestre,True
Kepler-1745 b,Não-Terrestre,Não-Terrestre,True
Kepler-252 b,Não-Terrestre,Não-Terrestre,True
WASP-90 b,Não-Terrestre,Não-Terrestre,True
Kepler-947 b,Não-Terrestre,Não-Terrestre,True
Kepler-1639 b,Não-Terrestre,Não-Terrestre,True
Kepler-355 b,Não-Terrestre,Não-Terrestre,True
Kepler-215 b,Não-Terrestre,Não-Terrestre,True
Kepler-1314 b,Não-Terrestre,Não-Terrestre,True
Kepler-318 c,Não-Terrestre,Não-Terrestre,True
Kepler-1522 b,Não-Terrestre,Não-Terrestre,True
WASP-160 B b,Não-Terrestre,Não-Terrestre,True
Kepler-268 c,Não-Terrestre,Não-Terrestre,True
Kepler-197 c,Terrestre,Terrestre,True
Kepler-1002 b,Não-Terrestre,Não-Terrestre,True
Kepler-83 b,Não-Terrestre,Não-Terrestre,True
Kepler-761 b,Não-Terrestre,Não-Terrestre,True
TOI-2193 A b,Não-Terrestre,Não-Terrestre,True
GJ 1132 b,Não-Terrestre,Não-Terrestre,True
Kepler-301 d,Não-Terrestre,Não-Terrestre,True
Kepler-1762 b,Não-Terrestre,Não-Terrestre,True
TOI-2328 b,Não-Terrestre,Não-Terrestre,True
Kepler-1251 b,Não-Terrestre,Não-Terrestre,True
Kepler-680 b,Não-Terrestre,Não-Terrestre,True
Kepler-417 b,Não-Terrestre,Não-Terrestre,True
TOI-2134 b,Terrestre,Terrestre,True
Kepler-967 b,Não-Terrestre,Não-Terrestre,True
Kepler-1994 b,Não-Terrestre,Não-Terrestre,True
Kepler-213 b,Não-Terrestre,Não-Terrestre,True
Kepler-251 b,Não-Terrestre,Não-Terrestre,True
Kepler-198 c,Não-Terrestre,Não-Terrestre,True
GJ 436 b,Terrestre,Terrestre,True
WASP-91 b,Não-Terrestre,Não-Terrestre,True
TOI-2207 b,Não-Terrestre,Não-Terrestre,True
WASP-156 b,Não-Terrestre,Não-Terrestre,True
HD 20329 b,Não-Terrestre,Não-Terrestre,True
Kepler-1065 b,Não-Terrestre,Não-Terrestre,True
Kepler-1849 b,Não-Terrestre,Não-Terrestre,True
Kepler-927 b,Não-Terrestre,Não-Terrestre,True
TOI-2567 b,Não-Terrestre,Não-Terrestre,True
Kepler-1157 b,Não-Terrestre,Não-Terrestre,True
TOI-2969 b,Não-Terrestre,Não-Terrestre,True
NGTS-11 b,Não-Terrestre,Não-Terrestre,True
Kepler-1787 b,Não-Terrestre,Não-Terrestre,True
Kepler-84 d,Não-Terrestre,Não-Terrestre,True
GJ 367 b,Terrestre,Terrestre,True
Kepler-275 c,Não-Terrestre,Não-Terrestre,True
WASP-1 b,Não-Terrestre,Não-Terrestre,True
WASP-123 b,Não-Terrestre,Não-Terrestre,True
Kepler-1006 b,Não-Terrestre,Não-Terrestre,True
Kepler-300 b,Não-Terrestre,Não-Terrestre,True
HD 20781 d,Terrestre,Terrestre,True
Kepler-301 b,Não-Terrestre,Não-Terrestre,True
WASP-65 b,Não-Terrestre,Não-Terrestre,True
GJ 581 c,Não-Terrestre,Não-Terrestre,True
Kepler-122 e,Não-Terrestre,Não-Terrestre,True
Kepler-126 c,Terrestre,Terrestre,True
Kepler-341 c,Não-Terrestre,Não-Terrestre,True
Kepler-691 b,Não-Terrestre,Não-Terrestre,True
Kepler-80 b,Não-Terrestre,Não-Terrestre,True
TOI-4137 b,Não-Terrestre,Não-Terrestre,True
Kepler-148 c,Não-Terrestre,Não-Terrestre,True
HIP 67851 b,Não-Terrestre,Não-Terrestre,True
Kepler-1286 b,Não-Terrestre,Não-Terrestre,True
Kepler-273 c,Não-Terrestre,Não-Terrestre,True
Kepler-582 b,Não-Terrestre,Não-Terrestre,True
TOI-712 c,Não-Terrestre,Não-Terrestre,True
