nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
Kepler-204 c,70.30123674163039,179000000.0,386000000.0,0.173
Kepler-205 b,74.49935970122922,151000000.0,289000000.0,0.032
Kepler-205 c,71.51174841582461,164000000.0,333000000.0,0.122
Kepler-206 b,74.57442519966838,120000000.0,187000000.0,0.078
Kepler-206 c,72.23863448333293,177000000.0,378000000.0,0.111
Kepler-206 d,72.25018804060372,119000000.0,181000000.0,0.163
Kepler-207 b,74.51024827786974,157000000.0,309000000.0,0.029
Kepler-207 c,74.47835613183919,150000000.0,286000000.0,0.044
Kepler-207 d,68.97587962321839,331000000.0,1100000000.0,0.068
Kepler-208 b,73.95590340795862,163000000.0,329000000.0,0.054
Kepler-208 c,74.11119479490027,139000000.0,251000000.0,0.079
Kepler-208 d,74.07093011676159,120000000.0,187000000.0,0.103
Kepler-208 e,72.55016791664355,148000000.0,279000000.0,0.132
Kepler-209 b,70.44637327428538,226000000.0,573000000.0,0.122
Kepler-209 c,64.19950102743705,310000000.0,980000000.0,0.231
Kepler-21 b,73.70321544674543,163900000.0,750000000.0,0.0434
Kepler-210 b,70.56810931791225,294000000.0,896000000.0,0.032
Kepler-210 c,67.74590135658715,362000000.0,1280000000.0,0.07
Kepler-211 b,74.95463108460027,126000000.0,213000000.0,0.048
Kepler-211 c,72.87592154072397,129000000.0,1830000000.0,0.062
Kepler-212 b,73.61524444875647,109000000.0,132000000.0,0.133
Kepler-212 c,66.72967778136963,274000000.0,795000000.0,0.207
Kepler-213 b,74.24786876598016,162000000.0,326000000.0,0.036
Kepler-213 c,71.91597023615715,234000000.0,608000000.0,0.057
Kepler-214 b,69.52616263775968,261000000.0,732000000.0,0.13
Kepler-214 c,68.90002034446889,213000000.0,518000000.0,0.194
Kepler-215 b,73.21101068214976,162000000.0,326000000.0,0.084
Kepler-215 c,72.00872077563515,177000000.0,378000000.0,0.113
Kepler-215 d,66.01851370270631,239000000.0,2360000000.0,0.185
Kepler-215 e,64.26730705498514,175000000.0,371000000.0,0.314
Kepler-216 b,71.45694147199501,235000000.0,612000000.0,0.079
Kepler-216 c,68.03224769972164,304000000.0,948000000.0,0.136
Kepler-217 b,72.1402978493404,223000000.0,560000000.0,0.065
Kepler-217 c,72.70449208003316,185000000.0,408000000.0,0.089
Kepler-218 b,74.45005467726618,148000000.0,279000000.0,0.046
Kepler-218 c,63.641688686951206,314000000.0,1000000000.0,0.248
Kepler-219 b,70.21900115136042,295000000.0,901000000.0,0.057
Kepler-219 c,65.6551853408317,358000000.0,1250000000.0,0.165
Kepler-219 d,62.95889337836892,281000000.0,1910000000.0,0.272
Kepler-220 b,78.11245417799738,0.81,0.457,0.046
Kepler-220 c,73.39462651289459,157000000.0,309000000.0,0.076
Kepler-220 d,74.51073173917182,0.98,0.904,0.163
Kepler-220 e,68.49291125750801,133000000.0,233000000.0,0.226
Kepler-221 c,70.06857327398025,293000000.0,930000000.0,0.059
Kepler-221 d,70.48661388880822,273000000.0,361000000.0,0.087
Kepler-222 b,69.71132592530117,316000000.0,1010000000.0,0.048
Kepler-222 c,64.34936289960548,464000000.0,1940000000.0,0.091
Kepler-222 d,64.51771207352137,369000000.0,1320000000.0,0.18
Kepler-224 b,74.76257600830982,139000000.0,251000000.0,0.038
Kepler-224 c,69.52590409216963,312000000.0,991000000.0,0.058
Kepler-224 d,71.04733249052485,230000000.0,590000000.0,0.089
Kepler-224 e,70.86432918349793,197000000.0,454000000.0,0.124
Kepler-225 b,74.73119622187383,120000000.0,187000000.0,0.056
Kepler-225 c,71.19768158897865,184000000.0,404000000.0,0.111
Kepler-226 b,71.97868131796488,155000000.0,2400000000.0,0.047
Kepler-226 c,67.83140731201473,227000000.0,4520000000.0,0.058
Kepler-226 d,74.46697327382952,122000000.0,198000000.0,0.076
Kepler-227 b,69.02004121539346,311000000.0,985000000.0,0.09
Kepler-227 c,62.469116121999086,304000000.0,948000000.0,0.29
Kepler-228 b,74.47375058135391,153000000.0,296000000.0,0.038
Kepler-228 c,71.00321159361002,270000000.0,775000000.0,0.052
Kepler-228 d,66.02162030458506,404000000.0,1540000000.0,0.101
